Bancs,camera,zone,Pop,5_degres_C_TMG_j,Aire_sous_la_courbe,15_j,16_j,17_j,18_j,19_j,20_j,21_j
4.0,1.0,21.0,803,14.74,12792.0,32.0,44.0,60.0,72.0,76.0,84.0,84.0
4.0,3.0,42.0,803,13.98,13632.0,56.0,56.0,72.0,76.0,76.0,76.0,80.0
4.0,3.0,35.0,803,16.92,7200.0,8.0,32.0,40.0,56.0,60.0,64.0,72.0
4.0,2.0,35.0,803,16.86,5680.0,12.0,16.0,24.0,36.0,44.0,56.0,56.0
3.0,1.0,23.0,803,16.19,7520.0,16.0,28.0,40.0,56.0,64.0,64.0,64.0
3.0,3.0,43.0,803,16.18,7536.0,20.0,28.0,36.0,52.0,60.0,64.0,64.0
4.0,2.0,23.0,803,17.49,6896.0,4.0,16.0,32.0,56.0,64.0,72.0,80.0
3.0,1.0,13.0,803,15.75,10744.0,44.0,52.0,60.0,64.0,72.0,80.0,84.0
4.0,3.0,25.0,803,15.78,8648.0,24.0,40.0,60.0,64.0,64.0,64.0,68.0
3.0,2.0,12.0,803,15.27,7256.0,16.0,32.0,36.0,48.0,52.0,52.0,52.0
3.0,1.0,26.0,803,14.26,9832.0,32.0,40.0,52.0,56.0,60.0,60.0,60.0
3.0,2.0,13.0,803,14.46,8896.0,28.0,48.0,56.0,56.0,56.0,56.0,56.0
4.0,4.0,12.0,803,15.81,8096.0,16.0,36.0,56.0,60.0,64.0,64.0,64.0
4.0,1.0,34.0,803,18.15,4792.0,0.0,12.0,24.0,36.0,44.0,52.0,68.0
3.0,2.0,33.0,803,15.27,9480.0,24.0,32.0,44.0,64.0,64.0,64.0,68.0
4.0,4.0,25.0,803,16.45,8456.0,16.0,32.0,36.0,68.0,76.0,76.0,76.0
3.0,2.0,41.0,803,16.31,8256.0,24.0,32.0,52.0,64.0,64.0,72.0,72.0
4.0,4.0,42.0,803,17.38,4616.0,12.0,16.0,24.0,32.0,36.0,44.0,52.0
3.0,1.0,46.0,803,15.6,7896.0,28.0,36.0,48.0,52.0,56.0,56.0,60.0
4.0,2.0,33.0,803,16.91,7216.0,12.0,24.0,28.0,44.0,60.0,72.0,72.0
3.0,2.0,46.0,803,15.68,10888.0,28.0,48.0,56.0,80.0,84.0,84.0,84.0
4.0,4.0,22.0,803,15.74,10776.0,40.0,52.0,72.0,76.0,84.0,84.0,84.0
3.0,1.0,35.0,803,15.58,10560.0,28.0,52.0,64.0,76.0,80.0,80.0,80.0
4.0,3.0,24.0,803,16.5,7920.0,20.0,36.0,44.0,60.0,68.0,68.0,72.0
4.0,1.0,33.0,830,15.41,8720.0,28.0,36.0,48.0,52.0,64.0,64.0,64.0
3.0,1.0,33.0,830,16.47,7528.0,16.0,24.0,36.0,52.0,52.0,64.0,68.0
4.0,2.0,13.0,830,15.36,7696.0,36.0,40.0,48.0,52.0,52.0,52.0,56.0
3.0,1.0,13.0,830,15.7,8792.0,36.0,40.0,44.0,52.0,60.0,68.0,68.0
4.0,4.0,15.0,830,15.76,9704.0,32.0,48.0,60.0,64.0,72.0,76.0,76.0
